Date, Time, Account, Account Type, Activity, Time taken in seconds
2023-03-09,13:17:51,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,9.5
2023-03-09,13:18:24,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,13:18:28,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,4.17
2023-03-09,13:18:32,testinggamesstudent@test.ac.uk,Student,Basket load time,2.62
2023-03-09,13:19:45,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.44
2023-03-09,14:52:33,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.24
2023-03-09,14:52:55,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,14:52:55,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-09,14:52:59,testinggamesstudent@test.ac.uk,Student,Basket load time,3.14
2023-03-09,14:53:28,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,14:56:32,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.16
2023-03-09,14:56:52,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,14:56:52,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-09,14:56:57,testinggamesstudent@test.ac.uk,Student,Basket load time,4.18
2023-03-09,14:57:21,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,14:57:21,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,14:58:34,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.02
2023-03-09,14:58:53,testinggamesstudent@test.ac.uk,Student,Search for item,3.1
2023-03-09,14:58:53,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-09,14:58:56,testinggamesstudent@test.ac.uk,Student,Basket load time,1.6
2023-03-09,14:59:27,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,14:59:29,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,14:59:35,testinggamesstudent@test.ac.uk,Student,Booking made,3.22
2023-03-09,15:00:13,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.57
2023-03-09,15:32:27,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.91
2023-03-09,15:32:51,testinggamesstudent@test.ac.uk,Student,Search for item,6.7
2023-03-09,15:32:51,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-09,15:32:55,testinggamesstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-09,15:33:15,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,15:33:18,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-09,15:34:52,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,9.68
2023-03-09,15:35:21,testinggamesstudent@test.ac.uk,Student,Search for item,5.18
2023-03-09,15:35:26,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,4.68
2023-03-09,15:35:31,testinggamesstudent@test.ac.uk,Student,Basket load time,4.14
2023-03-09,15:36:03,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-09,15:36:06,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.11
2023-03-09,15:36:16,testinggamesstudent@test.ac.uk,Student,Booking made,3.13
2023-03-09,15:36:57,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,8.09
2023-03-09,15:37:20,testingsoftstudent@test.ac.uk,Student,Search for item,4.15
2023-03-09,15:37:20,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-09,15:37:25,testingsoftstudent@test.ac.uk,Student,Basket load time,4.18
2023-03-09,15:37:54,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.14
2023-03-09,15:37:57,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-09,15:38:04,testingsoftstudent@test.ac.uk,Student,Booking made,3.14
2023-03-09,15:38:45,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,4.26
2023-03-09,16:51:44,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.55
2023-03-09,16:52:03,testinggamesstudent@test.ac.uk,Student,Search for item,4.64
2023-03-09,16:52:03,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-09,16:52:08,testinggamesstudent@test.ac.uk,Student,Basket load time,4.14
2023-03-09,16:52:35,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,16:52:39,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,16:52:46,testinggamesstudent@test.ac.uk,Student,Booking made,3.12
2023-03-09,16:53:26,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,6.58
2023-03-09,16:53:45,testingsoftstudent@test.ac.uk,Student,Search for item,5.16
2023-03-09,16:53:45,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.07
2023-03-09,16:53:49,testingsoftstudent@test.ac.uk,Student,Basket load time,1.1
2023-03-09,16:54:11,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-09,16:54:13,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,16:54:23,testingsoftstudent@test.ac.uk,Student,Booking made,3.16
2023-03-09,16:54:59,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.38
2023-03-09,16:55:56,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.3
2023-03-09,16:56:18,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,16:56:18,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-09,16:57:37,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.26
2023-03-09,16:58:00,testinggamesstudent@test.ac.uk,Student,Search for item,3.1
2023-03-09,16:58:00,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.09
2023-03-09,16:58:04,testinggamesstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-09,16:58:34,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-09,16:58:37,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,16:58:47,testinggamesstudent@test.ac.uk,Student,Booking made,2.64
2023-03-09,16:59:28,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,6.54
2023-03-09,16:59:51,testingsoftstudent@test.ac.uk,Student,Search for item,5.67
2023-03-09,16:59:51,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.07
2023-03-09,17:03:19,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.13
2023-03-09,17:03:39,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,17:03:41,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.09
